ISMN,annee_sortie,arrangeur,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,,, Kiefer,,,Barnhouse,Marche,Concert Band,,No,BAR013037100AR,March,,The Royal Escort,https://www.musicshopeurope.fr/the-royal-escort-bar013037100ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035070093,2011,Lorenzo Bocci,Flexible 4 Series,,"Queen a conservé, malgré le décès de son charismatique leader et auteur succès, Freddie Mercury, en 1991, de très nombreux admirateurs inconditionnels dans le monde entier. La chanson  We Will Rock You  figure encore aujourd’hui parmi leschansons les plus populaires du groupe. En choisissant  We",00:02:00,De Haske Publications,,Concert Band/Harmonie/Fanfare,"Grade 2,5",Oui,DHP 1115046-015,As performed by Queen,,We Will Rock You,https://www.musicshopeurope.fr/we-will-rock-you-dhp%201115046--015?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790365226757,2023,,Beriato Concert Works,Bert Appermont,"Cette œuvre est fondée sur cinq chansons populaires issues de diverses cultures. Chacune apporte son propre caractère et un climat bien distinct, formant ainsi un voyage musical à travers le monde :  Evening Rise  (Amérique),  Lo Yisa Goy  (Israël),  Sakura  (Japon),  Finnegans Wake  (Irlande) et ",00:07:50,Beriato Music Publishing,Pièce de concert,Orchestre d'Harmonie,"Grade 3,5",Oui,BMP23011743,Folk Songs from Around the World,Folk,Evening Rise,https://www.musicshopeurope.fr/evening-rise-bmp23011743?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,,Stephen Roberts,,Eric Levisalles,"Ameno est tiré du premier album du groupe Era, sorti en 1997 et vendu plus de deux millions d’exemplaires. Les sonorités sont de style « New Age », agrémentées d’un langage souvent imaginaire, proche du latin, le tout restituant une ambiancemédiévale qui a valu au groupe Era les succès qu’on lui",00:03:52,Difem Publisher,,Concert Band and Mixed Choir,Grade 3,Oui,DIF118145,includes 25 choir parts,,Ameno,https://www.musicshopeurope.fr/ameno-dif118145?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035255698,2000,,Essential Elements German Translations,,,,Hal Leonard,Éducatif,Baryton ou Euphonium (clé de fa),,,0571-00-404 DHE,Die komplette Methode für den Musikunterricht in Schulen und Blasorchestern,Enfant,Essential Elements Band 1 - für Bariton (BC),https://www.musicshopeurope.fr/essential-elements-band-1-f%c3%bcr-bariton-bc-0571--00--404%20dhe?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2000,,Essential Elements German Translations,,,,Hal Leonard,Éducatif,Clarinet Boehm,,,0565-00-400 DHE,Die komplette Methode für den Musikunterricht in Schulen und Blasorchestern,,Essential Elements Band 1 - für Klarinette Boehm,https://www.musicshopeurope.fr/essential-elements-band-1-f%c3%bcr-klarinette-boehm-0565--00--400%20dhe?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2023,,Essential Elements German Translations,,,,Hal Leonard,Éducatif,Percussion,,,0575-00-404 DHE,Die komplette Methode für den Musikunterricht in Schulen und Blasorchestern,,Essential Elements Band 1 - für Schlagzeug,https://www.musicshopeurope.fr/essential-elements-band-1-f%c3%bcr-schlagzeug-0575--00--404%20dhe?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2024,Paul Murtha,Discovery Plus Concert Band,,"Originally a hit for the pop group Aqua in 1997, this peppy and instantly recognized tune found its way into the movie “Barbie” as the background track for the song “Barbie World.” Here's a fun version for younger bands.",,Hal Leonard,"TV, Film, Comédie musicale",Orchestre d'Harmonie,Grade 2,,HL04008521,Stock per warehouse,Concert,Barbie Girl,https://www.musicshopeurope.fr/barbie-girl-hl04008521?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2024,Paul Murtha,Discovery Plus Concert Band,,"Originally a hit for the pop group Aqua in 1997, this peppy and instantly recognized tune found its way into the movie “Barbie” as the background track for the song “Barbie World.” Here's a fun version for younger bands.",,Hal Leonard,"TV, Film, Comédie musicale",Orchestre d'Harmonie,Grade 2,Oui,HL04008520,Stock per warehouse,Concert,Barbie Girl,https://www.musicshopeurope.fr/barbie-girl-hl04008520?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,,,,Ted Parson,,,Editions Marc Reift,,Orchestre d'Harmonie et Chœur,Grade 3,Oui,EMR10718,Stock per warehouse,,Motherless Child,https://www.musicshopeurope.fr/motherless-child-emr10718?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035248836,2021,P. Kleine Schaars,De Haske Flexible Series,,"Speedy Gonzales (Gonzáles, ou anciennement Presto Gonzales en français) est un personnage de dessin animé bien connu des séries  Looney Tunes et Merrie Melodies  de Warner Bros. Sans arrêt, cette souris mexicaine ultrarapide, coiffée d’un immense sombrero jaune, nargue le canard Daffy et le chat",00:02:15,De Haske Publications,"TV, Film, Comédie musicale",5-Part Flexible Band and Opt. Piano,"Grade 2,5",,DHP 1216386-215,The Fastest Mouse in all Mexico,Film/TV,Speedy Gonzales,https://www.musicshopeurope.fr/speedy-gonzales-dhp%201216386--215?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035254400,2023,,Essential Elements German Translations,,,,Hal Leonard,Éducatif,Saxophone Alto,,,0567-00-404 DHE,Die komplette Methode für den Musikunterricht in Schulen und Blasorchestern,,Essential Elements Band 1 - für Altsaxophon,https://www.musicshopeurope.fr/essential-elements-band-1-f%c3%bcr-altsaxophon-0567--00--404%20dhe?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035252543,2023,,Essential Elements German Translations,,,,Hal Leonard,Éducatif,Trumpet,,,0569-00-404 DHE,Die komplette Methode für den Musikunterricht in Schulen und Blasorchestern,,Essential Elements Band 1 - für Trompete,https://www.musicshopeurope.fr/essential-elements-band-1-f%c3%bcr-trompete-0569--00--404%20dhe?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035068137,1993,Ron Sebregts,De Haske Pop Collection,Björn Ulvaeus,"ABBA Gold  est un medley qui permet de redécouvrir le légendaire groupe pop suédois qui a remporté le Concours Eurovision de la Chanson en 1974 et dont la musique reste plus que jamais actuelle. L’arrangement de Ron Sebregts reprend quatre de leurs plus grands succès, des mélodies que l’on ne peut",00:06:30,De Haske Publications,Pop & rock,Concert Band/Harmonie/Fanfare,Grade 4,Oui,DHP 0930489-015,Stock per warehouse,,Abba Gold,https://www.musicshopeurope.fr/abba-gold-dhp%200930489--015?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2005,,Essential Elements French Translations,,"Votre livre vous offre un accès gratuit Essential Elements Interactive, l'ultime ressource en ligne pour l'enseignement musical pour les enseignants, les élèves et les parents. Partout, en tout temps, et sur tous les supports! · Pistes d'accompagnement GRATUITES - Diffusion et téléchargement",,Hal Leonard,,Clarinette,,,1257-05-400 DHE,Stock per warehouse,,Essential Elements 1 - pour clarinette Sib,https://www.musicshopeurope.fr/essential-elements-1-pour-clarinette-sib-1257--05--400%20dhe?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2018,Paul Murtha,Young Concert Band,Benj Pasek,"Basé sur la bande originale formidable du succès  The Greatest Showman , voici un medley dramatique et stimulant pour vos concerts. Sont inclus :  The Greatest Show ,  Never Enough ,  A Million Dreams ,  This Is Me  et  From Now On .",,Hal Leonard,"TV, Film, Comédie musicale",Orchestre d'Harmonie,Grade 3,Oui,HL04005513,Stock per warehouse,Film/TV,Selections from The Greatest Showman,https://www.musicshopeurope.fr/selections-from-the-greatest-showman-hl04005513?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2015,,Young Concert Band, Freddie Mercury,"Bien que cette chanson du groupe emblématique Queen eut un accueil plutôt réservé lors de sa première sortie en 1979, elle est devenue l’une des plus populaires du groupe au fil des années gr ce, en partie, son usage fréquent dans des publicités, des films et la télévision. Avec ses aspects typiques",00:03:12,Hal Leonard,Pop & rock,Orchestre d'Harmonie,Grade 3,Oui,HL04004606,As Recorded by Queen,Rock,Don't Stop Me Now,https://www.musicshopeurope.fr/don-t-stop-me-now-hl04004606?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
,2005,,Essential Elements French Translations,,"Votre livre vous offre un accès gratuit Essential Elements Interactive, l'ultime ressource en ligne pour l'enseignement musical pour les enseignants, les élèves et les parents. Partout, en tout temps, et sur tous les supports! · Pistes d'accompagnement GRATUITES - Diffusion et téléchargement",,Hal Leonard,,Trombone BC,,,1262-05-400 DHE,Stock per warehouse,,Essential Elements 1 - pour trombone en Ut,https://www.musicshopeurope.fr/essential-elements-1-pour-trombone-en-ut-1262--05--400%20dhe?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790365225170,2017,Filip Ceunen,Beriato Flex-Band Series,,Il n’y a guère de match de football sans foule qui chante cette célèbre ligne de basse. On oublierait même qu’elle sort d’une chanson entière du groupe américain The White Stripes. Cette version flexible cinq voix pour band permet chaque ensemble de jouer cet arrangement enjoué. Vous enflammerez,00:02:20,Beriato Music Publishing,Pop & rock,5-Part Flexible Band and Opt. Piano,Grade 2,Oui,BMP17014668,as performed by The White Stripes,,Seven Nation Army,https://www.musicshopeurope.fr/seven-nation-army-bmp17014668?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790051661589,2006,Robert Longfield,Boosey and Hawkes Concert Band,Karl Jenkins,"Bien que cette composition semble venir tout droit de l'époque baroque, il s'agit en fait du premier mouvement d'une suite écrite en 1966 par Karl Jenkins. Connue sous le titre de 'Diamond Music', sa pulsion rythmique implacable et son caractère dramatique en font une pièce de répertoire idéale pour",,Boosey and Hawkes - Hal Leonard,"TV, Film, Comédie musicale",Concert Band,Grade 3,No,HL48019208,Stock per warehouse,Post 1901,Palladio,https://www.musicshopeurope.fr/palladio-hl48019208?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
