ISMN          ,annee_sortie ,arrangeur         ,artiste           ,collection                     ,compositeur                     ,description                                                                                                                                                                                                                                                                                                    ,duree    ,edition                         ,genre                        ,instrumentation                     ,niveau ,partie_euro ,ref_editeur     ,sous_titre                                                  ,style     ,titre                                        ,url
              ,             ,                  ,                  ,                               ,Kiefer                          ,                                                                                                                                                                                                                                                                                                               ,         ,Barnhouse                       ,Marche                       ,Concert Band                        ,       ,False       ,BAR013037100AR  ,March                                                       ,          ,The Royal Escort                             ,https://www.musicshopeurope.fr/the-royal-escort-bar013037100ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
              ,        2015 ,                  ,Queen             ,Young Concert Band             ,Freddie Mercury                 ,"Bien que cette chanson du groupe emblématique Queen eut un accueil plutôt réservé lors de sa première sortie en 1979, elle est devenue l’une des plus populaires du groupe au fil des années gr ce, en partie, son usage fréquent dans des publicités, des films et la télévision. Avec ses aspects typiques" ,00:03:12 ,Hal Leonard                     ,Pop & rock                   ,Orchestre d'Harmonie                ,   3.0 ,True        ,HL04004606      ,As Recorded by Queen                                        ,Rock      ,Don't Stop Me Now                            ,https://www.musicshopeurope.fr/don-t-stop-me-now-hl04004606?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035068137 ,        1993 ,Ron Sebregts      ,                  ,De Haske Pop Collection        ,"Björn Ulvaeus,Benny Andersson" ,"ABBA Gold  est un medley qui permet de redécouvrir le légendaire groupe pop suédois qui a remporté le Concours Eurovision de la Chanson en 1974 et dont la musique reste plus que jamais actuelle. L’arrangement de Ron Sebregts reprend quatre de leurs plus grands succès, des mélodies que l’on ne peut"   ,00:06:30 ,De Haske Publications           ,Pop & rock                   ,Concert Band/Harmonie/Fanfare       ,   4.0 ,True        ,DHP 0930489-015 ,                                                            ,          ,Abba Gold                                    ,https://www.musicshopeurope.fr/abba-gold-dhp%200930489--015?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
              ,        2018 ,Paul Murtha       ,                  ,Young Concert Band             ,"Benj Pasek,Justin Paul"        ,"Basé sur la bande originale formidable du succès  The Greatest Showman , voici un medley dramatique et stimulant pour vos concerts. Sont inclus :  The Greatest Show ,  Never Enough ,  A Million Dreams ,  This Is Me  et  From Now On ."                                                                    ,         ,Hal Leonard                     ,"TV, Film, Comédie musicale" ,Orchestre d'Harmonie                ,   3.0 ,True        ,HL04005513      ,                                                            ,Film/TV   ,Selections from The Greatest Showman         ,https://www.musicshopeurope.fr/selections-from-the-greatest-showman-hl04005513?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790365225170 ,        2017 ,Filip Ceunen      ,                  ,Beriato Flex-Band Series       ,                                ,Il n’y a guère de match de football sans foule qui chante cette célèbre ligne de basse. On oublierait même qu’elle sort d’une chanson entière du groupe américain The White Stripes. Cette version flexible cinq voix pour band permet chaque ensemble de jouer cet arrangement enjoué. Vous enflammerez       ,00:02:20 ,Beriato Music Publishing        ,Pop & rock                   ,5-Part Flexible Band and Opt. Piano ,   2.0 ,True        ,BMP17014668     ,as performed by The White Stripes                           ,          ,Seven Nation Army                            ,https://www.musicshopeurope.fr/seven-nation-army-bmp17014668?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790051661589 ,        2006 ,Robert Longfield  ,                  ,Boosey and Hawkes Concert Band ,Karl Jenkins                    ,"Bien que cette composition semble venir tout droit de l'époque baroque, il s'agit en fait du premier mouvement d'une suite écrite en 1966 par Karl Jenkins. Connue sous le titre de 'Diamond Music', sa pulsion rythmique implacable et son caractère dramatique en font une pièce de répertoire idéale pour" ,         ,Boosey and Hawkes - Hal Leonard ,"TV, Film, Comédie musicale" ,Concert Band                        ,   3.0 ,False       ,HL48019208      ,                                                            ,Post 1901 ,Palladio                                     ,https://www.musicshopeurope.fr/palladio-hl48019208?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
              ,        2018 ,Michael Brown     ,                  ,Discovery Plus Concert Band    ,"Benj Pasek,Justin Paul"        ,"Tiré du film musical succès  The Greatest Showman , ce numéro sensationnel est une chanson inspirante sur la réalisation de nos rêves. Cette excellente version de Michael Brown pour de jeunes joueurs présente un mélange de textures et d’instrumentations allant de passages doux et délicats au refrain" ,         ,Hal Leonard                     ,"TV, Film, Comédie musicale" ,Orchestre d'Harmonie                ,   2.0 ,True        ,HL04005497      ,from The Greatest Showman                                   ,Film/TV   ,A Million Dreams (from The Greatest Showman) ,https://www.musicshopeurope.fr/a-million-dreams-from-the-greatest-showman-hl04005497?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790365226450 ,        2022 ,                  ,                  ,Beriato Opening Series         ,Bert Appermont                  ,"Majestic Entrance  est une ouverture festive rappelant les musiques de cinéma. Elle a été écrite pour Musikverein Muttenz, une société musicale suisse qui a fêté son 125e anniversaire en 2021 – une excellente raison pour commander une nouvelle œuvre. Cette pièce se déroule en trois mouvements : le"   ,00:04:15 ,Beriato Music Publishing        ,Ouverture                    ,Orchestre d'Harmonie                ,   3.5 ,True        ,BMP22011723     ,                                                            ,          ,Majestic Entrance                            ,https://www.musicshopeurope.fr/majestic-entrance-bmp22011723?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035248829 ,        2021 ,P. Kleine Schaars ,                  ,De Haske Flexible Series       ,                                ,"Speedy Gonzales (Gonzáles, ou anciennement Presto Gonzales en français) est un personnage de dessin animé bien connu des séries  Looney Tunes et Merrie Melodies  de Warner Bros. Sans arrêt, cette souris mexicaine ultrarapide, coiffée d’un immense sombrero jaune, nargue le canard Daffy et le chat"     ,00:02:15 ,De Haske Publications           ,"TV, Film, Comédie musicale" ,5-Part Flexible Band and Opt. Piano ,   2.5 ,True        ,DHP 1216386-015 ,The Fastest Mouse in all Mexico                             ,Film/TV   ,Speedy Gonzales                              ,https://www.musicshopeurope.fr/speedy-gonzales-dhp%201216386--015?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
9790035070093 ,        2011 ,Lorenzo Bocci     ,                  ,Flexible 4 Series              ,                                ,"Queen a conservé, malgré le décès de son charismatique leader et auteur succès, Freddie Mercury, en 1991, de très nombreux admirateurs inconditionnels dans le monde entier. La chanson  We Will Rock You  figure encore aujourd’hui parmi leschansons les plus populaires du groupe. En choisissant  We"     ,00:02:00 ,De Haske Publications           ,                             ,Concert Band/Harmonie/Fanfare       ,   2.5 ,True        ,DHP 1115046-015 ,As performed by Queen                                       ,          ,We Will Rock You                             ,https://www.musicshopeurope.fr/we-will-rock-you-dhp%201115046--015?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2f
