ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,Donald Furlano,,,George Michael,,,Scomegna,,Orchestre d'Harmonie,,True,SCOESB57016,,,Last Christmas,https://www.musicshopeurope.fr/last-christmas-scoesb57016?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,, Ofburg,,,Pascual Marquina Narro,,00:02:00,Scomegna,,Concert Band,,True,SCOESB73616A,,,Espana Cani,https://www.musicshopeurope.fr/espana-cani-scoesb73616a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,,,,Marco Somadossi,,,Scomegna,,Concert Band,,True,SCOESB72421,,,Aqva,https://www.musicshopeurope.fr/aqva-scoesb72421?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,,,,Daniele Carnevali,,00:06:20,Scomegna,Pièce de concert,Concert Band,4.0,False,SCOESB71521,,,Modo Vivo,https://www.musicshopeurope.fr/modo-vivo-scoesb71521?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,,,,Daniele Carnevali,"The composition consists of three movements (Allegro, Adagio, Allegro). The melody and composition are inspired by the soundtracks of Italian films in the post Second World War period. The work features flashes of melodic fragments from the most famous pages of Giuseppe Verdi. At times these quotations appear to be in marked contrast, at others they form a symbiosis with the musical context, almost as if to underline",00:10:10,Scomegna,Pièce de concert,Concert Band,4.0,False,SCOESB71322,,,Cinecittà,https://www.musicshopeurope.fr/cinecitt%c3%a0-scoesb71322?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Giancarlo Gazzani,,,,"""Tristeza"", ""Besame Mucho"" and ""Samba de Orfeu"" are three tracks in the traditional Latin-American repertory that comprise this medley. The arrangement by Giancarlo Gazzani presents this classic in an attractive orchestral format.",,Scomegna,Musique latine,Concert Band/Harmonie/Fanfare,3.0,True,SCOESB70621,,Latin,Oro Latino,https://www.musicshopeurope.fr/oro-latino-scoesb70621?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Marco Somadossi,,,Giuseppe Verdi,,00:06:56,Scomegna,,Concert Band,4.0,False,SCOESB70222,Inno e Marcia Trionfale (Hymn and Triumphal March),,Aida,https://www.musicshopeurope.fr/aida-scoesb70222?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,,,,Giuseppe Verdi,,00:01:36,Scomegna,,Concert Band,2.0,False,SCOESB69515,,,Marcia Trionfale dall'Aida,https://www.musicshopeurope.fr/marcia-trionfale-dall-aida-scoesb69515?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Lorenzo Pusceddu,,,Kenneth J. Alford,,,Scomegna,,Concert Band,,False,SCOESB67816,,,Colonel Bogey,https://www.musicshopeurope.fr/colonel-bogey-scoesb67816?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Donald Furlano,,,,,,Scomegna,,Concert Band,,False,SCOESB67721,,,The 60' Collection,https://www.musicshopeurope.fr/the-60-collection-scoesb67721?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,,,,Lorenzo Pusceddu,,00:08:53,Scomegna,,Concert Band,,True,SCOESB67323A,,,Sid Addir Babai,https://www.musicshopeurope.fr/sid-addir-babai-scoesb67323a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,,,,Nicola Piovani,,,Scomegna,,Orchestre d'Harmonie,2.0,True,SCOESB67216A,,,La Vita è Bella,https://www.musicshopeurope.fr/la-vita-%c3%a8-bella-scoesb67216a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Fernando Francia,,,Damaso Perez Prado,,,Scomegna,,Orchestre d'Harmonie,,True,SCOESB65216A,,,Mambo N.5 (A little Bit of),https://www.musicshopeurope.fr/mambo-n-5-a-little-bit-of-scoesb65216a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Lorenzo Pusceddu,,,Astor Piazzolla,,00:04:18,Scomegna,,Orchestre d'Harmonie,,True,SCOESB64216A,,,Oblivion,https://www.musicshopeurope.fr/oblivion-scoesb64216a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Einz,,,Johann Strauss Jr.,,00:06:30,Scomegna,Classique,Orchestre d'Harmonie,3.0,True,SCOESB63119,The Blue Danube,,An der schönen blauen Donau,https://www.musicshopeurope.fr/an-der-sch%c3%b6nen-blauen-donau-scoesb63119?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,,,,V. Pallavicini,,,Scomegna,,Orchestre d'Harmonie,3.0,True,SCOESB62916,,Concert,Azzurro,https://www.musicshopeurope.fr/azzurro-scoesb62916?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Fernando Francia,,,Leon Aguilar,,00:03:24,Scomegna,,Concert Band/Harmonie/Fanfare,2.0,True,SCOESB60817,,,La Colegiala,https://www.musicshopeurope.fr/la-colegiala-scoesb60817?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37525
,,Giancarlo Gazzani,,,,,04:40:00,Scomegna,,Concert Band,,False,SCOESB89417,,,Adeste Fideles,https://www.musicshopeurope.fr/adeste-fideles-scoesb89417?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,, Ofburg,,,Pyotr Ilyich Tchaikovsky,,00:09:08,Scomegna,,Concert Band,,True,SCOESB88321,,,Le Lac des Cygnes,https://www.musicshopeurope.fr/le-lac-des-cygnes-scoesb88321?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,,,,Lorenzo Pusceddu,,,Scomegna,,Concert Band,,False,SCOESB87718A,,,Sway,https://www.musicshopeurope.fr/sway-scoesb87718a?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,,,,Fernando Francia,,03:20:00,Scomegna,,Concert Band,3.0,False,SCOESB87017,,,Flash,https://www.musicshopeurope.fr/flash-scoesb87017?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,,,,Van Morrison,,,Scomegna,,Concert Band/Harmonie/Fanfare/Brass Band,,True,SCOESB85819,,,Moondance,https://www.musicshopeurope.fr/moondance-scoesb85819?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
,,,,,Marco Somadossi,,00:06:20,Scomegna,,Orchestre d'Harmonie,,True,SCOESB84723,,,Innuendo,https://www.musicshopeurope.fr/innuendo-scoesb84723?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d37550
