ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,2024,,,Southern Music Band,James Barnes,"Composed during the summer and fall of 1974, Barnes' FIRST SYMPHONY, Op. 35 was his master's thesis at The University of Kansas. It was premiered in the spring semester of 1976 by their Symphonic Band, Robert E. Foster conducting. The following year, the symphony was awarded the American Bandmasters Ostwald Composition prize, which led to a second performance (of only the first two movements) by the Northwestern Wind",,Southern Music Company,,Orchestre d'Harmonie,5.0,False,HL01455262,for Symphonic Band,Concert,"First Symphony, Op. 35",https://www.musicshopeurope.com/first-symphony-op-35-hl01455262?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2024,,,Southern Music Band,Greg Sanders,"Distant Hymns is the third movement from the composer's work Dreams and Faith (The Solomon Valley Anthology). The American Composers Alliance commissioned the work for their Continental Harmony Project. In the late 1880s and early 1900s, many of the inhabitants of the Solomon River area in northern Kansas meticulously documented their lives in the vast expanse of the Kansas prairie in writings in their personal",,Southern Music Company,,Orchestre d'Harmonie,,False,HL01428503,for Band,Concert,Distant Hymns,https://www.musicshopeurope.com/distant-hymns-hl01428503?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2025,Paul Murtha,,Flex-Band Grade 3,,Friday night lights are the perfect  setting for your marching band to groove hard on this driving techno favorite from the smash hit Netflix movie. The entire ensemble gets to stretch out and flex. Pure energy!,,Hal Leonard,"TV, Film, Comédie musicale",Orchestre d'Harmonie,,True,HL04009654,from KPop Demon Hunters,,Golden,https://www.musicshopeurope.com/golden-hl04009654?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2025,Paul Lavender,,Young Concert Band,John Williams,"This medley of the timeless music from the beloved Christmas movie series captures all of the whimsical, festive and heartwarming emotions from John Williams' iconic scores. Arranged to be performed as a stand-alone concert band work or as an accompaniment to the choir arrangement. Songs include Somewhere in My Memory; Merry Christmas, Merry Christmas, Star of Bethlehem and We Wish You A Merry Christmas.",,Hal Leonard,,Orchestre d'Harmonie,3.5,True,HL04009577,(Band with opt. Chorus),Fêtes,Selections from Home Alone,https://www.musicshopeurope.com/selections-from-home-alone-hl04009577?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790365227334,2025,,,Beriato Entertainment,Etienne Crausaz,"Dancing on the Sand  (Danse sur le sable) nous plonge dans une ambiance orientale très marquée. Une introduction modérée, soutenue par la percussion, plante le décor. Une petite cadence de la clarinette sur la deuxième partie de l’œuvre, durant laquelle une danse orientale construite sur des rythmes irréguliers se développe, en constante accélération, pour aboutir à un final des plus éblouissants. Une pièce qui",00:05:00,Beriato Music Publishing,Musique légère originale,Orchestre d'Harmonie,5.0,True,BMP25011749,,Concert,Dancing on the Sand,https://www.musicshopeurope.com/dancing-on-the-sand-bmp25011749?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790365227372,2025,,,Beriato Opening Series,Bert Appermont,"Cette composition s’ouvre sur une fanfare de cuivres majestueuse qui mène à un hymne mélodieux. Après un développement progressif, les deux mélodies se rejoignent dans un grand tutti. Fanfare & Hymn  est une commande du orchestre d’harmonie royal Ons Verlangen, Beverst (Belgique) en hommage aux membres du comité et musiciens Edgard Thijssen et Jos Appermont. Ceux-ci étaient comme des figures paternelles qui, par leur",00:05:20,Beriato Music Publishing,Ouverture,Orchestre d'Harmonie,4.0,True,BMP25011767,'To the Fathers',Concert,Fanfare & Hymn,https://www.musicshopeurope.com/fanfare-1-hymn-bmp25011767?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
9790502991210,2025,,,,Franco Cesarini,"Winds of Hope  est une ouverture pour orchestre d’harmonie qui célèbre l’élan vital, la capacité de regarder au-delà de l’horizon et de toujours trouver une direction, même dans l’adversité.  Le voyage musical commence par un thème lyrique et aérien, tel un vent porteur de promesses de renouveau. La musique s’anime ensuite d’élans rythmiques et brillants, chargés d’énergie et de détermination. Dans la partie",00:07:30,Edition Franco Cesarini,Pièce de concert,Orchestre d'Harmonie,4.0,True,EFC044-CBHA,"(An Overture), Op. 64",,Winds of Hope,https://www.musicshopeurope.com/winds-of-hope-efc044--cbha?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2025,,,MusicWorks Grade 3,Michele Fernández,"Written in remembrance of Ahmir Joliff and Dan Marburger, this concert Bolero incorporates musicalÿ elements of both Latin and Middle Eastern cultures to create moments of high emotion that depict innocence, love and sacrifice. Detailed percussion notes contribute greatly to performance accuracy. A unique addition to the concert band repertoire.",,Hal Leonard,,Orchestre d'Harmonie,4.0,False,HL04009658,,Concert,A Mere Moment,https://www.musicshopeurope.com/a-mere-moment-hl04009658?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2025,,,MusicWorks Grade 5,Paul Murtha,A heroic and triumphant work commissioned in honor of the U.S. Special Forces and the U.S Army's 250th birthday. Glorious brass fanfares and dazzling woodwind lines open the piece with a reflective and reverent theme of remembrance taking over before transitioning back to a soaring closing of hope and glory.,,Hal Leonard,,Orchestre d'Harmonie,5.0,False,HL04009648,,,De Oppresso Liber,https://www.musicshopeurope.com/de-oppresso-liber-hl04009648?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
,2025,John Wasson,,Discovery Plus Concert Band,Alan Menken,"From an Off-Off Broadway hit to a popular to movie to one of the most performed musicals in every level of theatre in the world, this arrangement brings the catchy, rocking, and unforgettable opening number to your young musicians. A hit!",,Hal Leonard,"TV, Film, Comédie musicale",Orchestre d'Harmonie,2.0,True,HL04009642,,Broadway,Little Shop of Horrors,https://www.musicshopeurope.com/little-shop-of-horrors-hl04009642?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc
